User,Tweet
pjs814,"RT @Melissa04899261: @Jiminlove3000 @BTS_twt BE GOOD BE LIKE JIMIN

I’m listening to the hot trending ost of 2022 #WithYou by #JIMIN #BTSJI…"
pjmmycatdog,"RT @Marvicky24: BE GOOD BE LIKE JIMIN
WITH YOU 💙 JIMIN

I’m listening to the hot trending song #WithYou OST by #JIMIN #BTSJIMIN of #BTS (@B…"
chejiminie5813,"RT @PJM_data: Jimin's Twitter Trends | Worldwide 🌎 

""BE GOOD BE LIKE JIMIN"" is trending at #20 Worldwide as fans share how Jimin's positiv…"
mlcTcdAX6jOfKC0,RT @PJMsMINI13: @charming1023 @BTS_twt My favorite Billboard trending song is definitely #WithYou by #JIMIN #BTSJIMIN #BTS (@BTS_twt) and S…
gortizpolly,RT @DeansMyHero: Jensen taking over the trending topics true king shit  👑 https://t.co/mmlsSwyAQ6
MommyLouV,RT @laviedenoona: #ChickenNoodleSoup by #JHOPE feat. Beckyg is My trending Song Choice #CNS @BTS_twt
YxinBts13,RT @lhy_1218: @jiminimymy @BTS_twt Forever in love with the hot trending OST of 2022 #WithYou by #JIMIN #BTSJIMIN of #BTS  (@BTS_twt) and S…
Korazon24698179,"RT @theJINPRlNT: We are trying/experimenting first if we can chart Moon and Epiphany for the BB Hot Trending Songs Chart. 

Let's see if it…"
951013sea,RT @JIMIN1013PJMS: @951013sea @CTjangmi @BTS_twt I’m listening to the hot trending song #WithYou by #JIMIN #BTSJIMIN of #BTS (@BTS_twt) and…
0s6nV4UuDikw11A,RT @jmjkthsgrm: @NoAbsNoLIfe @BTS_twt I’m listening to the hot trending song #WithYou OST by #JIMIN #BTSJIMIN of #BTS (@BTS_twt) and Sungwo…
Just_JiMin1995,"RT @jms_Vocalist: #BTSJIMIN #JIMIN #Jiminie #ParkJimin 
JIMIN JIMIN

I love to listen to the hot trending song of 2022 #WithYou by #JIMIN #…"
RanjithRainaVfc,"RT @sekartweets: #Beast Tamil, #Raw (Hindi) and Beast (Telugu) are trending @NetflixIndia . Top 3 position occupied by the @actorvijay star…"
Legoretwi211103,"RT @RCH_BESTY3: Check out "" Bye-Good-Bye "" by BE:FIRST on this week's Hot Trending Songs Powered by Twitter! 
https://t.co/xseNuHkvng @bill…"
taisantosarmy,"RT @pinetreeow: 🗨️ #GirlOfMyDreams and #Daechwita by #SUGA aka #AgustD (@BTS_twt) is my favorite song trending!

RT 🔃 VOTO 🗳️"
Satyamseth437,"RT @neuroayush: Trending on 4th in India

Why it's not showing in the app trending list ? @TwitterIndia @TwitterSupport @elonmusk 

#Justic…"
myatnoe1310,"RT @t46QE8cKkVvCgGH: BE GOOD BE LIKE JIMIN
I'm listening to the hot trending song
#WithYou by #JIMIN #BTSJIMIN  of #BTS (@BTS_twt) and Sung…"
Baalvee19468417,"RT @ItsDivyology: @nav__edits @pinkvilla I nominate #DivyaAgarwal  for #PinkvillaStyleIcons super stylish readers choice award 2022. 

@pin…"
wnmcradio,"Now Playing, Let's Eat Grandma — Hall Of Mirrors (Radio Edit) from ""Hall Of Mirrors"" - Single #music #Electronica"
akhilapvh11,"RT @dentodontics: Trending 🔥🔥 at 2nd Spot 
Let's Trend it at 1st guys 
Target at 1st 
#JusticeForDoctors https://t.co/huBG1AUdXF"
SouravM26050284,"RT @sidkannan: Thanks to your love, we are trending on No.8.

Use the hashtag #sidkwithmunawarfaruqui and lets take this video to no.1 on Y…"
SofiaVa24368227,@Netflixhelps #SaveLegacies is trending.  @netflix @julieplec Give the show a proper ending after 13 YEARS of sticking with #TheVampireDiaries Universe. Please. #Legacies The fanbase is very strong and the show is very much loved. That's an opportunity. https://t.co/B8HmqvHbWS
Drpranitaaghav,"RT @dentodontics: #JusticeForDoctors is trending 🔥🔥 
#NEETPG2022 hash tag is trending 
🔥🔥🔥🔥
@nsui @Neerajkundan @NSUIKarnataka @NSUIDelhiUn…"
xxyka__,"RT @Rainie_mikevid: Article about #YoonA being voted as ""Best Dressed"" at #BaeksangArtsAwards2022 is trending at #2 Naver Most Read News!…"
07_JIMIN1013,"RT @SAND0229: 달리자~~
I’m in love with the hot trending OST of 2022 #WithYou by #JIMIN #BTSJIMIN of #BTS (@BTS_twt) and Sungwoon"
Korazon24698179,"RT @abyss_dandelion: OUR EPIPHANY JIN &amp;  #Epiphany_BTS are trending  ♡ silver vocal king Seokjin and his version of epiphany, moon are the…"
ArmyNorela,"@caarlamoontoya @BTS_twt Every time I seen to far away 💜💜

#Yours_Jin by #BTSJIN is My trending Song Choice @BTS_twt"
PremeHardy,i started postin on tik tok like 4 times cause da shit trending. bool. but makin music FOR tik tok ? na shit lame nd thats all the “big” artists doin nowadays.
Bsjmoon2,"RT @1204_wwhandsome: Let’s keep Seokjin trending by rt &amp; rply all tweets with tags to increase mentions 🙏 and keep shazaming his music🎶

OU…"
ccherryghost,RT @MCRupdates1: My Chemical Romance trending worldwide
rain_on_leaves,"RT @Sandi951230: @SerieTV46 @BTS_twt @BLACKPINK ""When the rain stops
You shine on me
Your light's the only thing that keeps the cold out""…"
