,User,Tweet
0,pjs814,"{'2022', 'trending', '’', 'hot', 'GOOD', 'LIKE', 'Jiminlove3000', 'RT', 'WithYou', 'BTSJI…', 'Melissa04899261', 'listening', 'JIMIN', 'BTS_twt', 'I', 'ost', 'BE'}"
1,pjmmycatdog,"{'OST', 'JIMIN', 'BTSJIMIN', 'hot', 'RT', 'BTS', 'song', 'I', 'BE', 'GOOD', 'WithYou', 'listening', '💙', 'trending', '’', 'Marvicky24', 'LIKE', 'B…', 'YOU', 'WITH'}"
2,chejiminie5813,"{'share', 'Jimin', 'Worldwide', 'trending', '🌎', 'GOOD', 'LIKE', 'RT', 'positiv…', 'PJM_data', '20', 'Trends', 'JIMIN', 'Twitter', 'BE', 'fans', ""'s""}"
3,mlcTcdAX6jOfKC0,"{'trending', 'charming1023', 'favorite', 'song', 'RT', 'definitely', 'WithYou', 'BTS', 'My', 'Billboard', 'BTS_twt', 'JIMIN', 'PJMsMINI13', 'BTSJIMIN', 'S…'}"
4,gortizpolly,"{'trending', 'topics', 't.co/mmlsSwyAQ6', 'RT', 'shit', 'taking', 'Jensen', '👑', 'https', 'true', 'DeansMyHero', 'king'}"
5,MommyLouV,"{'trending', 'Song', 'Choice', 'Beckyg', 'RT', 'CNS', 'My', 'feat', 'BTS_twt', 'laviedenoona', 'ChickenNoodleSoup', 'JHOPE'}"
6,YxinBts13,"{'2022', 'trending', 'hot', 'lhy_1218', 'RT', 'Forever', 'WithYou', 'BTS', 'OST', 'jiminimymy', 'JIMIN', 'BTS_twt', 'BTSJIMIN', 'S…', 'love'}"
7,Korazon24698179,"{'trying/experimenting', 'theJINPRlNT', 'Moon', 'Trending', 'Chart', 'see', 'first', 'RT', 'Songs', 'Hot', 'BB', 'Let', 'Epiphany', 'it…', 'We', 'chart', ""'s""}"
8,951013sea,"{'trending', '’', 'hot', 'RT', 'WithYou', 'BTS', 'listening', '951013sea', 'JIMIN', 'JIMIN1013PJMS', 'BTS_twt', 'BTSJIMIN', 'song', 'and…', 'CTjangmi', 'I'}"
9,0s6nV4UuDikw11A,"{'jmjkthsgrm', 'trending', 'Sungwo…', '’', 'hot', 'RT', 'WithYou', 'BTS', 'OST', 'listening', 'JIMIN', 'BTS_twt', 'BTSJIMIN', 'song', 'I', 'NoAbsNoLIfe'}"
10,Just_JiMin1995,"{'2022', 'trending', 'hot', 'love', 'RT', 'listen', 'jms_Vocalist', 'WithYou', '…', 'JIMIN', 'BTSJIMIN', 'song', 'ParkJimin', 'Jiminie', 'I'}"
11,RanjithRainaVfc,"{'trending', '3', 'Telugu', 'NetflixIndia', 'sekartweets', 'RT', 'star…', 'occupied', 'Hindi', 'Tamil', 'actorvijay', 'Top', 'Raw', 'position', 'Beast'}"
12,Legoretwi211103,"{'Powered', 'Trending', 'RCH_BESTY3', 'Bye-Good-Bye', 'https', 'RT', 't.co/xseNuHkvng', 'Hot', 'Check', 'week', 'Twitter', 'Songs', 'FIRST', 'BE', 'bill…', ""'s""}"
13,taisantosarmy,"{'trending', 'AgustD', 'favorite', 'VOTO', 'GirlOfMyDreams', '🔃', 'RT', 'pinetreeow', '🗨️', 'SUGA', '🗳️', 'Daechwita', 'BTS_twt', 'song', 'aka'}"
14,Satyamseth437,"{'trending', 'TwitterIndia', 'Trending', 'India', 'neuroayush', 'list', 'showing', 'app', 'RT', 'TwitterSupport', 'Justic…', 'elonmusk', '4th', 'Why', ""'s""}"
15,myatnoe1310,"{'trending', 'hot', 'GOOD', 'LIKE', 'RT', 'WithYou', 'BTS', ""'m"", 'listening', 'Sung…', 'JIMIN', 'BTS_twt', 'BTSJIMIN', 'song', 't46QE8cKkVvCgGH', 'BE', 'I'}"
16,Baalvee19468417,"{'ItsDivyology', '2022', 'DivyaAgarwal', 'readers', 'nominate', 'RT', 'super', 'nav__edits', 'stylish', 'pinkvilla', 'PinkvillaStyleIcons', 'choice', 'award', 'I', 'pin…'}"
17,wnmcradio,"{'Grandma', 'Of', 'Mirrors', 'Edit', 'Eat', 'Now', 'Radio', '—', 'Let', 'Single', 'Electronica', 'Playing', 'music', 'Hall', ""'s""}"
18,akhilapvh11,"{'1st', 'Trending', '🔥🔥', 'Spot', 'RT', 'Target', 't.co/huBG1AUdXF', 'guys', 'JusticeForDoctors', 'dentodontics', 'Let', 'https', 'Trend', '2nd', ""'s""}"
19,SouravM26050284,"{'trending', 'sidkwithmunawarfaruqui', 'Use', 'RT', 'No.8', 'Thanks', 'Y…', 'hashtag', 'no.1', 'take', 'lets', 'sidkannan', 'video', 'love'}"
20,SofiaVa24368227,"{'The', 'strong', 'YEARS', 'sticking', 'julieplec', 'Legacies', 'netflix', 'loved', 'Please', 'ending', 'proper', '13', 'fanbase', 'SaveLegacies', 'opportunity', 'https', ""'s"", 'Give', 'trending', 't.co/B8HmqvHbWS', 'much', 'Netflixhelps', 'show', 'TheVampireDiaries', 'Universe', 'That'}"
21,Drpranitaaghav,"{'hash', 'trending', 'nsui', '🔥🔥', '🔥🔥🔥🔥', 'NSUIDelhiUn…', 'RT', 'Neerajkundan', 'JusticeForDoctors', 'dentodontics', 'NSUIKarnataka', 'NEETPG2022', 'tag'}"
22,xxyka__,"{'trending', 'BaeksangArtsAwards2022', 'News', 'RT', 'Naver', 'Best', '…', 'Rainie_mikevid', 'Article', 'voted', '2', 'YoonA', 'Most', 'Read', 'Dressed'}"
23,07_JIMIN1013,"{'2022', 'trending', '’', 'hot', 'RT', 'WithYou', 'BTS', 'OST', '달리자', 'JIMIN', 'BTS_twt', 'BTSJIMIN', 'I', 'SAND0229', 'love', 'Sungwoon'}"
24,Korazon24698179,"{'amp', 'version', 'trending', 'abyss_dandelion', 'silver', 'OUR', 'vocal', 'epiphany', 'EPIPHANY', 'Seokjin', 'RT', 'Epiphany_BTS', '♡', 'moon', 'the…', 'JIN', 'king'}"
25,ArmyNorela,"{'BTSJIN', 'trending', 'time', 'Choice', 'Song', 'Every', 'seen', 'far', 'away', 'caarlamoontoya', 'My', 'BTS_twt', 'I', 'Yours_Jin', '💜💜'}"
26,PremeHardy,"{'nd', 'tik', 'da', 'artists', 'cause', 'bool', '”', 'shit', 'doin', 'like', 'big', 'FOR', 'na', 'postin', 'started', 'trending', 'times', 'tok', '4', 'thats', 'makin', 'lame', '“', 'nowadays', 'music'}"
27,Bsjmoon2,"{'amp', 'rt', 'keep', '’', 'trending', 'Seokjin', 'RT', 'mentions', '1204_wwhandsome', 'rply', 'OU…', 'tweets', 'increase', 'music🎶', 'Let', '🙏', 'shazaming', 'tags'}"
28,ccherryghost,"{'trending', 'RT', 'Chemical', 'worldwide', 'MCRupdates1', 'My', 'Romance'}"
29,rain_on_leaves,"{'rain', ""'s"", 'Your', 'stops', 'light', 'You', 'keeps', 'RT', 'SerieTV46', 'cold', '…', 'BTS_twt', 'When', 'thing', 'shine', 'BLACKPINK', 'Sandi951230'}"
30,Charlie_Cawood,"{'App', 'Leona', 'Charlie_Cawood', 'Mix', 'Radio', 'amp', 'bigtimeradio', 'Single', 'Interviews', '43', 't.co/N76xPoatRr', 'Worldwide', 'BigTimeRadio1', 't.co/JiPHr6jZyC', 'Stations', '3', 'SUBMI', 't.co/c7cZfm4MQo', '247', 'Echo', 'Billboard', 'Lewis', 'Run', 'https', 'Music', 'Top40', 'Countries', 'bigtime_news', 'Amazon'}"
31,jinko2022,"{'OUR', 'Chart', 'Trending', 'EPIPHANY', 'seokjinism1', 'SuperTuna_Jin', '방탄소년단진', 'Hot', 'My', 'Billboard', 'BTS_twt', 'choice', 'Songs', 'Yours_Jin', 'JIN'}"
32,xzhanshine,"{'The', 'youth', 'wxyzybxz', 'Yang', 'Formed', 'Pilot', 'Yibo', 'RT', 'Chinese', 'Unit', 'Wang', 'Lang', 'Test', 'Zhen', 'When', 'trending', '’', 'o…', 'Yu', 'Lei', 'Police'}"
33,jam_onlineradio,"{'Enjoy', 'Radio', 'BluesMusic', 'week', 'Stream', 't.co/SWuYJJmIKG', 'folk', 'listen', 'rockmusic', 'folkmusic', 'countrymusic', 't.co/q5bQfwme3A', 'rock', 'https', 'listenlive', 't.co/1wC283vJoN', 'blues', 'Tunein', 'internetradio', 'music', 'classicrock'}"
34,piedpiper_dg,"{'peak', 'daily', 'reaches', 'Trending', 'prior', 'new', 'RT', '4', 'BTS', 'Hot', 'Billboard', 'release', 'btstrendingsong', 'chart', 'Daily', 'YetToCome'}"
35,Sava_kis,"{'RejectOz', 'sure'}"
36,Legoretwi211103,"{'Betrayal', 'f…', 'Gifted', '「', 'panpagurasu562', 'Bye-Good-Bye', 'BEFIRST', 'RT', 'BetrayalGame', '💿', 'New', 'Game', 'Single', '」by', '′s', 'FIRST', 'BE'}"
37,monserojas216,"{'trending', 'Song', 'Choice', 'produced', '🥰😘🥴\U0001fae0🤗🤭🤭💕💕😍🐰', 'RT', '💬', 'BTS', 'StayAlive', 'SUGA', 't.co/Iub6UptvhK', 'Mikro_Mxco', 'My', 'JUNGKOOK', 'BTS_twt', 'https'}"
38,thisll01,"{'1', 'Butter', 'Stay', 'Yet', 'RT', 'Mention', 'You', '157.8K', '468K', '3', 'Alive', 'Come', '…', '176K', 'Songs', 'Trending', '250K', 'Rate', 'With', '4', 'Hot', '2', 'btstrendingsong'}"
39,Jooniismoon,"{'Song', 'Choice', 'Trending', 'voting', 'RT', 'BTS', ""'m"", 'btsglobally', 'My', 'BTS_twt', 'I', 'YetToCome'}"
40,lighttinyjimin,"{'2022', 'Jimin', 'trending', 'Congratulations', '’', 'SerendipityCombined300M', 'hot', 'WithYou', 'BTS', 'listening', 'JIMIN', 'BTS_twt', 'BTSJIMIN', 'niamoonjin', 'I', 'ost', 'Sungwoon'}"
41,zeroguerre,"{'trending', 'lat…', 'RT', 'low', 'get', 'circumstances', 'BitcoinCrash', 'treat', 'opportunity', 'howardtayler', 'rich', 'buy', 'Do'}"
42,harleyakaharley,"{'t.co/hQMmIgfCN8', 'im', 'Living', 'lofi', 't.co/dTh8hsDSmp', 'Room', 'bandcamp', 'dreampop', 'gon', 'didnt', ""'re"", 'akaharley', 'indierock', 'topaz', 'https', 'Demos', 'make', 'dreams', 'think', 'na', 'good', 'music', 'stop', 'releasing'}"
43,shivilove2016,"{'trending', 'ur', 'TejaTroops_Fc', 'voice', 't.co/Hw1U7JVgOx', 'reel', 'engagement', 'RT', 'Jasminians', 'audio', 'Jasminbhasin', 'jasminxpyar', 'https', '😘'}"
44,Lesterthegreat_,"{'Trending', 'ang', 'RT', '🇵🇭❤💚', '31', 'Million', 'https', 't.co/6DHdla9HmU', 'RredHairLass'}"
45,the_eighth_room,"{'Shame', 'NowPlaying', 'nashville', 'The', 'Eighth', 'King', '24/7-365', 'live', 'Elle', 'Room', 'lounge', 'streaming', 't.co/2mfBngjxWI', 'https', 'music'}"
46,park_D_jiminluv,"{'CunhaVanya', 'Jiminlove3000', 'JIMIN', 'hot', 'RT', 'song', 'I', 'BE', 'love', 'WithYou…', 'GOOD', 'listening', 'THE', 'BTS_twt', 'TILL', 'END', 'trending', 'LIKE', 'WITH'}"
47,blessgodbieber,"{'trending', '’', 'find', 'fa…', 'new', 'RT', 'BarchieUpdates', 'Since', 'episode', 'Sunday', '8/7c', 'season', 'Riverdale', '7', 'watch', 'getting'}"
48,0s6nV4UuDikw11A,"{'trending', 'RT', 'WithYou', 'BTS', 'OST', 'listening', 'JIMIN', 'Sungwoon', 'BTS_twt', 'BTSJIMIN', 'I', 'love', 'Forevery81', 'NoAbsNoLIfe'}"
49,Saraksj,"{'listening…', 'version', 'Jinnie', 'trending', 'OUR', 'EPIPHANY', 'Waiting', 'RT', '🐹💜', 'Epiphany_BTS', 'IS', '방탄소년단진', '4ourMoon', 'MOON', 'COMING', 'demo', 'JIN'}"
50,minamjinya,"{'156K', 'hours', 'Tuna', 'RT', 'mentions', 'Yours', 'jinnieslamp', 'Super', '🔺', '5', 'Songs', 'Last', '24', 'Trending', 'menti…', 'Hot', '—', '6', '157K'}"
